x;y
1;1
2;1,414213562
3;1,732050808
4;2
5;2,236067977
6;2,449489743
7;2,645751311
8;2,828427125
9;3
10;3,16227766
11;3,31662479
12;3,464101615
13;3,605551275
14;3,741657387
15;3,872983346
16;4
17;4,123105626
18;4,242640687
19;4,358898944
20;4,472135955
21;4,582575695
22;4,69041576
23;4,795831523
24;4,898979486
25;5
26;5,099019514
27;5,196152423
28;5,291502622
29;5,385164807
30;5,477225575
31;5,567764363
32;5,656854249
33;5,744562647
34;5,830951895
35;5,916079783
36;6
37;6,08276253
38;6,164414003
39;6,244997998
40;6,32455532
41;6,403124237
42;6,480740698
43;6,557438524
44;6,633249581
45;6,708203932
46;6,782329983
47;6,8556546
48;6,92820323
49;7
50;7,071067812
51;7,141428429
52;7,211102551
53;7,280109889
54;7,348469228
55;7,416198487
56;7,483314774
57;7,549834435
58;7,615773106
59;7,681145748
60;7,745966692
61;7,810249676
62;7,874007874
63;7,937253933
64;8
65;8,062257748
66;8,124038405
67;8,185352772
68;8,246211251
69;8,306623863
70;8,366600265
71;8,426149773
72;8,485281374
73;8,544003745
74;8,602325267
75;8,660254038
76;8,717797887
77;8,774964387
78;8,831760866
79;8,888194417
80;8,94427191
